,Unnamed: 0,STATE,COUNTY,YEAR,MME_Str
0,0,UT,BEAVER,2006,1844.9267702250054
1,1,UT,BEAVER,2007,2023.9426875000033
2,2,UT,BEAVER,2008,2123.6494654500016
3,3,UT,BEAVER,2009,2127.5523904499987
4,4,UT,BEAVER,2010,2100.023475000003
5,5,UT,BEAVER,2011,2481.090221362509
6,6,UT,BEAVER,2012,2987.2720425000102
7,7,UT,BOX ELDER,2006,17787.44220000026
8,8,UT,BOX ELDER,2007,19711.476110000367
9,9,UT,BOX ELDER,2008,21215.0315050004
10,10,UT,BOX ELDER,2009,21205.28025000025
11,11,UT,BOX ELDER,2010,20832.21916500016
12,12,UT,BOX ELDER,2011,16962.650850000162
13,13,UT,BOX ELDER,2012,18123.07274658765
14,14,UT,CACHE,2006,26472.473900001056
15,15,UT,CACHE,2007,28550.63919283851
16,16,UT,CACHE,2008,28017.96055295099
17,17,UT,CACHE,2009,29283.488730451005
18,18,UT,CACHE,2010,28134.21915817606
19,19,UT,CACHE,2011,30621.321128401152
20,20,UT,CACHE,2012,31657.37251158844
21,21,UT,CARBON,2006,23097.95035000054
22,22,UT,CARBON,2007,24751.90961250048
23,23,UT,CARBON,2008,27561.62612750045
24,24,UT,CARBON,2009,28574.90793772551
25,25,UT,CARBON,2010,33949.84386840076
26,26,UT,CARBON,2011,30282.77118000037
27,27,UT,CARBON,2012,31174.550655225135
28,28,UT,DAVIS,2006,86047.40076045626
29,29,UT,DAVIS,2007,105742.82102957062
30,30,UT,DAVIS,2008,105604.3397503317
31,31,UT,DAVIS,2009,107299.63316906945
32,32,UT,DAVIS,2010,113912.7279847572
33,33,UT,DAVIS,2011,114396.6629404572
34,34,UT,DAVIS,2012,120450.97208179276
35,35,UT,DUCHESNE,2006,4461.587402000005
36,36,UT,DUCHESNE,2007,4678.94967750002
37,37,UT,DUCHESNE,2008,4625.174637500034
38,38,UT,DUCHESNE,2009,5592.951828862535
39,39,UT,DUCHESNE,2010,6475.71195772505
40,40,UT,DUCHESNE,2011,7114.449187500063
41,41,UT,DUCHESNE,2012,7867.310643862592
42,42,UT,EMERY,2006,7801.67824799998
43,43,UT,EMERY,2007,10048.441874999988
44,44,UT,EMERY,2008,10837.762362499983
45,45,UT,EMERY,2009,11001.287111587473
46,46,UT,EMERY,2010,14073.500025000007
47,47,UT,EMERY,2011,10709.788837499978
48,48,UT,EMERY,2012,9690.805537500013
49,49,UT,GARFIELD,2006,1413.9290999999994
50,50,UT,GARFIELD,2007,1654.578674999998
51,51,UT,GARFIELD,2008,1922.7136500000006
52,52,UT,GARFIELD,2009,1973.7100499999979
53,53,UT,GARFIELD,2010,1755.7791374999995
54,54,UT,GARFIELD,2011,1956.5407163624984
55,55,UT,GARFIELD,2012,2165.671054987501
56,56,UT,GRAND,2006,2636.1306913625017
57,57,UT,GRAND,2007,2673.0445990875032
58,58,UT,GRAND,2008,2830.4302163625
59,59,UT,GRAND,2009,2986.2383288624987
60,60,UT,GRAND,2010,3287.4970875000104
61,61,UT,GRAND,2011,4476.429525000019
62,62,UT,GRAND,2012,3822.684675000009
63,63,UT,IRON,2006,13542.637687500208
64,64,UT,IRON,2007,14667.751672500193
65,65,UT,IRON,2008,15745.960557087676
66,66,UT,IRON,2009,16538.779572000145
67,67,UT,IRON,2010,18516.43578450013
68,68,UT,IRON,2011,21015.06967567512
69,69,UT,IRON,2012,21863.312576587592
70,70,UT,JUAB,2006,2917.7613890000057
71,71,UT,JUAB,2007,4072.7647950000132
72,72,UT,JUAB,2008,4133.116032000016
73,73,UT,JUAB,2009,4081.68243750002
74,74,UT,JUAB,2010,4233.192300000018
